currency,amount,time,rate,place
SGDUSD,20000,25/9/20,1.384377,dbs
SGDUSD,20000,28/9/20,1.383182,dbs
SGDUSD,3000,29/9/20,1.371,dbs
SGDUSD,20091,22/10/20,1.36735,dbs
SGDUSD,15000,6/11/20,1.357606,dbs
SGDUSD,20000,26/11/20,1.351398,dbs
SGDUSD,26000,24/12/20,1.339015,dbs
SGDUSD,19700,4/2/21,1.346569,dbs
SGDUSD,30000,18/2/21,1.3388,dbs
SGDUSD,13000.65625,2/3/21,1.33125,ib
SGDUSD,24970,4/3/21,1.33168,ib
SGDUSD,10000,19/4/21,1.33404,ib
SGDUSD,39712.8476,23/4/21,1.3289,ib
SGDUSD,1997.9379,23/4/21,1.3293,ib
SGDUSD,20000,17/5/21,1.335738,ib
SGDHKD,15000,3/6/21,5.84555,ib