tick,buy_price,quantity,time,commission,currency
D05.SI,20.4,700,11/9/20,24.61,SGD
ME8U.SI,3.11,4000,11/9/20,21.29,SGD
AJBU.SI,2.92,2800,25/9/20,14.2,SGD
C2PU.SI,4.16,2000,28/9/20,14.25,SGD
BABA,267.779,26,25/9/20,19.26,USD
AAPL,113.91,62,29/9/20,19.26,USD
MSFT,208.31,34,29/9/20,19.26,USD
NVDA,534.27,18,2/10/20,19.26,USD
ARKK,97.76,75,23/10/20,19.26,USD
SPY,344.91,22,23/10/20,19.26,USD
ARKW,119.24,33,9/11/20,19.26,USD
ARKG,71.13,98,9/11/20,19.26,USD
BABA,263.53,19,30/11/20,19.26,USD
ARKQ,70.05,71,11/12/20,19.26,USD
ME8U.SI,2.78,1000,20/12/20,11.89,SGD
ARKF,50.71,96,22/12/20,19.26,USD
BABA,224.01,23,24/12/20,19.26,USD
BABA,226.01,23,24/12/20,19.26,USD
FB,260.21,27,29/1/21,19.26,USD
PRNT,47.51,116,11/2/21,19.26,USD
TSLA,805.62,7,11/2/21,19.26,USD
SOXX,439.81,12,16/2/21,19.26,USD
U,116.52,47,18/2/21,19.26,USD
TSLA,724.5,7,22/2/21,19.26,USD
PRNT,40.38,116,25/2/21,19.26,USD
AJBU.SI,2.62,700,8/3/21,2.5,SGD
QQQ,314.1,8,3/3/21,1,USD
ARKG,92.19,30,3/3/20,1,USD
ARKQ,84.31,25,4/3/20,1,USD
ARKK,125.86,20,4/3/20,1,USD
U,99.01,47,5/3/21,1,USD
SOXX,395.8,12,5/3/21,1,USD
TSLA,644,8,5/3/21,1,USD
CQQQ,92.66,25,5/3/21,1,USD
CQQQ,83.39,25,24/3/21,1.07,USD
ARKW,148.15,13,20/4/21,1.07,USD
SOXX,428.1,100,23/4/21,1.03,USD
TSLA,563.91,8,18/5/21,1.07,USD