,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology
SOXX,,,,,,,,,,,1
CQQQ,0.0022,0.0941,,,,0.0025,,0.3989,,0.0122,0.49
QQQ,,0.1806,0.0239,,0.0481,0.0669,0.0096,0.2034,,0.0269,0.4406
SPY,0.0234,0.1243,0.1441,0.0253,0.064,0.1289,0.0264,0.1118,0.0268,0.0905,0.2344
ARKK,,0.1167,0.0221,0.0133,0.011,0.2927,,0.2945,,0.0204,0.2294
ARKG,,,0.0059,,0.0044,0.9736,,,,,0.0161
ARKW,,0.188,0.0748,0.0326,0.0094,0.0576,,0.3168,,,0.3208
ARKQ,,0.2411,0.0244,,0.0122,0.0124,,0.1385,,0.2514,0.32
ARKF,,0.1446,0.2155,0.0352,,0.0242,,0.2393,,,0.3411
PRNT,0.0186,0.0201,,,0.0013,0.0956,,,,0.2739,0.5905
D05.SI,,,1,,,,,,,,
AJBU.SI,,,,1,,,,,,,
C2PU.SI,,,,1,,,,,,,
ME8U.SI,,,,1,,,,,,,
TSLA,,1,,,,,,,,,
U,,,,,,,,,,,1
FB,,,,,,,,1,,,
NVDA,,,,,,,,,,,1
AAPL,,,,,,,,,,,1
MSFT,,,,,,,,,,,1
BABA,,1,,,,,,,,,